Array_1	Array_2	Array_3	Array_4	Array_5	Array_6	Array_7	Array_8	Array_9	Array_10	Array_11
3.399900000000000091e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.403700000000000045e+02	3.571429999999999882e+00	-2.857100000000000195e-01	1.000000000000000000e+00	2.428570000000000118e+00	2.571429999999999882e+00	5.285709999999999908e+00	1.571430000000000105e+00	2.714289999999999647e+00	1.428569999999999895e+00	3.714289999999999647e+00
3.407400000000000091e+02	1.146339999999999915e+00	3.170700000000000185e-01	1.463399999999999979e-01	3.414599999999999858e-01	8.780500000000001082e-01	1.170729999999999826e+00	1.195119999999999960e+00	1.146339999999999915e+00	4.634099999999999886e-01	1.195119999999999960e+00
3.411200000000000045e+02	2.090910000000000046e+00	2.000000000000000000e+00	1.090910000000000046e+00	5.909100000000000463e-01	7.727299999999999169e-01	2.227269999999999861e+00	1.454550000000000232e+00	1.772729999999999917e+00	1.636360000000000037e+00	1.363639999999999963e+00
3.415000000000000000e+02	1.315790000000000015e+00	-6.315800000000000303e-01	1.368420000000000192e+00	4.210499999999999798e-01	5.789500000000000757e-01	1.052629999999999955e+00	2.631600000000000050e-01	1.263160000000000061e+00	7.368399999999999395e-01	1.263160000000000061e+00
3.418700000000000045e+02	5.384599999999999387e-01	8.205100000000000726e-01	8.205100000000000726e-01	2.307700000000000307e-01	5.640999999999999348e-01	7.948699999999999655e-01	3.846200000000000174e-01	3.846200000000000174e-01	3.333299999999999597e-01	-6.410299999999999887e-01
3.422500000000000000e+02	1.366670000000000051e+00	4.000000000000000222e-01	5.333299999999999708e-01	1.000000000000000000e+00	-6.666999999999999316e-02	1.166670000000000096e+00	6.999999999999999556e-01	1.100000000000000089e+00	1.500000000000000000e+00	4.666700000000000292e-01
3.426200000000000045e+02	1.214290000000000092e+00	8.095200000000000173e-01	9.285700000000000065e-01	9.761900000000000022e-01	2.380999999999999783e-02	1.119050000000000100e+00	1.452380000000000004e+00	9.285700000000000065e-01	8.571400000000000130e-01	1.333329999999999904e+00
3.430000000000000000e+02	-5.000000000000000000e+00	2.500000000000000000e+00	-1.250000000000000000e+00	1.750000000000000000e+00	-3.750000000000000000e+00	-8.500000000000000000e+00	-4.250000000000000000e+00	2.500000000000000000e-01	1.500000000000000000e+00	-3.000000000000000000e+00
3.433700000000000045e+02	1.516129999999999978e+00	1.096770000000000023e+00	5.806499999999999995e-01	8.387099999999999556e-01	1.161290000000000155e+00	9.677400000000000446e-01	1.387100000000000000e+00	1.290320000000000134e+00	1.032259999999999955e+00	1.516129999999999978e+00
3.437500000000000000e+02	2.437500000000000000e+00	5.625000000000000000e-01	5.000000000000000000e-01	2.062500000000000000e+00	1.187500000000000000e+00	2.250000000000000000e+00	3.875000000000000000e+00	2.625000000000000000e+00	1.687500000000000000e+00	1.750000000000000000e+00
3.441200000000000045e+02	4.482800000000000118e-01	1.172409999999999952e+00	1.724100000000000077e-01	8.620699999999998919e-01	1.724100000000000077e-01	9.655200000000000449e-01	1.241380000000000150e+00	7.586199999999999610e-01	7.586199999999999610e-01	8.275900000000000478e-01
3.445000000000000000e+02	5.262999999999999623e-02	6.315800000000000303e-01	2.631600000000000050e-01	6.315800000000000303e-01	8.421100000000000252e-01	8.947400000000000908e-01	1.578900000000000026e-01	-1.578900000000000026e-01	-3.684199999999999697e-01	-5.789500000000000757e-01
3.448799999999999955e+02	4.599999999999999645e+00	2.200000000000000178e+00	2.399999999999999911e+00	4.400000000000000355e+00	2.399999999999999911e+00	4.400000000000000355e+00	3.600000000000000089e+00	4.599999999999999645e+00	-3.000000000000000000e+00	7.799999999999999822e+00
3.452500000000000000e+02	6.000000000000000000e+00	3.000000000000000000e+00	4.500000000000000000e+00	5.000000000000000000e-01	2.500000000000000000e+00	8.500000000000000000e+00	1.050000000000000000e+01	1.150000000000000000e+01	7.000000000000000000e+00	5.500000000000000000e+00
3.456299999999999955e+02	1.028570999999999991e+01	6.428569999999999673e+00	2.285709999999999908e+00	4.571429999999999438e+00	6.714290000000000092e+00	5.857140000000000235e+00	3.428570000000000118e+00	4.142859999999999765e+00	5.714290000000000092e+00	6.857140000000000235e+00
3.460000000000000000e+02	1.882350000000000190e+00	6.470600000000000795e-01	1.941179999999999906e+00	8.235299999999999843e-01	3.529399999999999760e-01	2.117649999999999810e+00	1.117650000000000032e+00	1.058820000000000094e+00	2.352899999999999991e-01	1.705879999999999841e+00
3.463799999999999955e+02	1.250000000000000000e+00	5.000000000000000000e-01	1.949999999999999956e+00	6.999999999999999556e-01	1.000000000000000000e+00	8.000000000000000444e-01	9.499999999999999556e-01	1.350000000000000089e+00	1.500000000000000000e+00	1.500000000000000000e+00
3.467500000000000000e+02	3.000000000000000000e+00	1.000000000000000000e+01	-1.500000000000000000e+01	1.300000000000000000e+01	-3.000000000000000000e+00	-1.300000000000000000e+01	3.000000000000000000e+00	-2.700000000000000000e+01	-1.500000000000000000e+01	-2.900000000000000000e+01
3.471299999999999955e+02	1.777779999999999916e+00	5.444439999999999280e+00	3.000000000000000000e+00	3.333330000000000126e+00	3.333330000000000126e+00	2.666669999999999874e+00	5.111110000000000042e+00	3.444440000000000168e+00	4.222220000000000084e+00	3.000000000000000000e+00
3.475000000000000000e+02	2.000000000000000000e+00	1.111110000000000042e+00	3.000000000000000000e+00	1.111110000000000042e+00	1.333329999999999904e+00	5.555599999999999428e-01	2.777780000000000360e+00	3.444440000000000168e+00	6.666699999999999848e-01	2.555560000000000276e+00
3.478799999999999955e+02	3.888900000000000134e-01	-4.444400000000000017e-01	-6.666699999999999848e-01	-5.000000000000000000e-01	1.111100000000000004e-01	4.444400000000000017e-01	1.000000000000000000e+00	-5.555999999999999828e-02	-5.555599999999999428e-01	7.777800000000000269e-01
3.482500000000000000e+02	1.250000000000000000e-01	7.500000000000000000e-01	8.125000000000000000e-01	-1.250000000000000000e-01	5.625000000000000000e-01	6.250000000000000000e-01	-8.750000000000000000e-01	-5.000000000000000000e-01	-5.000000000000000000e-01	1.312500000000000000e+00
3.486299999999999955e+02	-1.666700000000000126e-01	3.166669999999999874e+00	1.333329999999999904e+00	1.666700000000000126e-01	6.666699999999999848e-01	-2.166669999999999874e+00	-2.833330000000000126e+00	-8.333300000000000152e-01	-2.333330000000000126e+00	-1.666670000000000096e+00
3.490000000000000000e+02	-3.299999999999999822e+00	-2.999999999999999889e-01	-9.000000000000000222e-01	-1.699999999999999956e+00	-1.399999999999999911e+00	-2.100000000000000089e+00	-5.200000000000000178e+00	-3.000000000000000000e+00	-2.600000000000000089e+00	-3.799999999999999822e+00
3.493799999999999955e+02	1.471000000000000085e-02	7.352999999999999814e-02	-1.471000000000000085e-02	1.617599999999999871e-01	-1.470599999999999963e-01	-2.941199999999999926e-01	4.411800000000000166e-01	-1.617599999999999871e-01	-5.881999999999999729e-02	4.411999999999999950e-02
3.497500000000000000e+02	-7.316999999999999893e-02	-3.170700000000000185e-01	-1.707299999999999929e-01	-1.463399999999999979e-01	-4.146299999999999986e-01	-5.853699999999999459e-01	-6.829300000000000370e-01	-2.195100000000000107e-01	-1.219500000000000028e-01	-2.195100000000000107e-01
3.501299999999999955e+02	-6.052600000000000202e-01	-3.421099999999999697e-01	-1.842099999999999849e-01	1.052599999999999925e-01	-2.894700000000000051e-01	-2.368400000000000227e-01	-4.210499999999999798e-01	-4.210499999999999798e-01	-1.315800000000000025e-01	-6.052600000000000202e-01
3.505000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.508799999999999955e+02	1.525400000000000089e-01	3.559300000000000241e-01	-3.389999999999999958e-02	-3.728799999999999892e-01	0.000000000000000000e+00	-5.084999999999999937e-02	1.355899999999999883e-01	-1.186400000000000093e-01	-5.084999999999999937e-02	-2.542400000000000215e-01
3.512500000000000000e+02	-1.029400000000000037e-01	1.764699999999999880e-01	-1.764699999999999880e-01	2.058800000000000074e-01	1.470599999999999963e-01	2.352899999999999991e-01	-1.911799999999999888e-01	1.764699999999999880e-01	4.411999999999999950e-02	4.411999999999999950e-02
3.516299999999999955e+02	-4.833299999999999819e-01	2.833299999999999708e-01	-6.666999999999999316e-02	1.000000000000000056e-01	-2.166700000000000292e-01	-1.499999999999999944e-01	2.000000000000000111e-01	-6.666999999999999316e-02	6.666999999999999316e-02	-1.666700000000000126e-01
3.520000000000000000e+02	-5.185199999999999809e-01	-7.407399999999999540e-01	-7.406999999999999695e-02	-1.481479999999999908e+00	-5.185199999999999809e-01	-1.148150000000000004e+00	-4.814800000000000191e-01	-8.888899999999999579e-01	-5.925899999999999501e-01	-1.592589999999999950e+00
3.523799999999999955e+02	-1.568599999999999994e-01	3.137300000000000089e-01	3.529399999999999760e-01	9.804000000000000214e-02	0.000000000000000000e+00	3.922000000000000486e-02	2.745100000000000318e-01	3.137300000000000089e-01	3.529399999999999760e-01	-7.842999999999999972e-02
3.527500000000000000e+02	-2.000000000000000111e-01	-2.000000000000000042e-02	1.600000000000000033e-01	-4.000000000000000222e-01	2.000000000000000042e-02	-3.200000000000000067e-01	-6.999999999999999556e-01	-5.000000000000000000e-01	-5.600000000000000533e-01	0.000000000000000000e+00
3.531200000000000045e+02	-7.406999999999999695e-02	2.469000000000000014e-02	2.222200000000000009e-01	-6.173000000000000015e-02	-2.716000000000000081e-01	2.469000000000000014e-02	-3.086400000000000254e-01	-1.111100000000000004e-01	2.963000000000000078e-01	-2.963000000000000078e-01
3.535000000000000000e+02	-1.235000000000000160e-02	4.938000000000000028e-02	1.235000000000000160e-02	-3.704000000000000348e-02	0.000000000000000000e+00	1.975300000000000111e-01	9.877000000000001056e-02	3.703699999999999770e-01	8.641999999999999682e-02	2.098799999999999832e-01
3.538700000000000045e+02	-2.452799999999999980e-01	-5.282999999999999918e-01	5.660000000000000447e-02	-3.396200000000000330e-01	-5.660000000000000447e-02	-3.773599999999999732e-01	-4.150900000000000145e-01	-4.905700000000000061e-01	-2.641499999999999959e-01	-5.471699999999999342e-01
3.542500000000000000e+02	-1.428599999999999870e-01	-7.936999999999999611e-02	1.269800000000000095e-01	-3.175000000000000044e-02	-3.650800000000000156e-01	-7.936999999999999611e-02	-1.111100000000000004e-01	-2.222200000000000009e-01	-2.380999999999999783e-01	-5.396800000000000486e-01
3.546200000000000045e+02	-5.714299999999999935e-01	-6.190499999999999892e-01	1.666700000000000126e-01	-2.142899999999999805e-01	-3.095200000000000173e-01	-6.666699999999999848e-01	-8.333300000000000152e-01	-1.000000000000000000e+00	-4.761900000000000022e-01	-1.904799999999999827e-01
3.550000000000000000e+02	-3.750000000000000000e-01	-8.125000000000000000e-01	-8.750000000000000000e-01	-2.500000000000000000e-01	-2.812500000000000000e-01	-5.312500000000000000e-01	-5.937500000000000000e-01	-1.218750000000000000e+00	-1.187500000000000000e+00	1.250000000000000000e-01
3.553700000000000045e+02	-1.351399999999999824e-01	2.702700000000000102e-01	-2.702700000000000102e-01	-4.594599999999999795e-01	-6.486499999999999488e-01	2.702999999999999847e-02	-3.783799999999999941e-01	2.432400000000000118e-01	-2.432400000000000118e-01	-5.405400000000000205e-01
3.557500000000000000e+02	-2.121200000000000030e-01	9.090999999999999082e-02	-3.030300000000000216e-01	-5.151499999999999968e-01	-6.060600000000000431e-01	-5.757600000000000495e-01	-6.363600000000000367e-01	-5.757600000000000495e-01	-8.787900000000000711e-01	-1.060610000000000053e+00
3.561200000000000045e+02	-2.340399999999999980e-01	2.978699999999999681e-01	0.000000000000000000e+00	1.702100000000000002e-01	-1.702100000000000002e-01	-3.617000000000000215e-01	-2.978699999999999681e-01	-3.404300000000000104e-01	2.553199999999999914e-01	8.510999999999999122e-02
3.564900000000000091e+02	0.000000000000000000e+00	2.500000000000000000e-01	-1.071399999999999991e-01	-5.356999999999999956e-02	1.607100000000000195e-01	5.356999999999999956e-02	0.000000000000000000e+00	2.321399999999999852e-01	2.142899999999999805e-01	-1.428599999999999870e-01
3.568700000000000045e+02	-9.512199999999999545e-01	-9.512199999999999545e-01	-8.780500000000001082e-01	-9.268300000000000427e-01	-1.073169999999999957e+00	-7.317100000000000826e-01	-9.756100000000000882e-01	-9.024400000000000199e-01	-1.000000000000000000e+00	-5.121999999999999886e-01
3.572400000000000091e+02	-4.680899999999999506e-01	-1.489399999999999891e-01	-4.893600000000000172e-01	-4.893600000000000172e-01	-6.382999999999999785e-02	-2.127700000000000147e-01	-6.808499999999999552e-01	-7.446800000000000086e-01	-8.085099999999999509e-01	-7.021299999999999208e-01
3.576200000000000045e+02	-2.500000000000000000e-01	3.571400000000000130e-01	1.786000000000000087e-02	-1.964299999999999935e-01	2.142899999999999805e-01	-1.607100000000000195e-01	-4.285700000000000065e-01	-1.964299999999999935e-01	-2.678599999999999870e-01	3.570999999999999869e-02
3.579900000000000091e+02	9.836000000000000298e-02	3.114799999999999791e-01	3.278699999999999948e-01	2.622999999999999776e-01	-2.786899999999999933e-01	1.311499999999999888e-01	1.639300000000000201e-01	1.803300000000000181e-01	3.278999999999999970e-02	-1.639000000000000179e-02
3.583700000000000045e+02	-3.469400000000000261e-01	2.448999999999999788e-01	-2.040999999999999759e-02	0.000000000000000000e+00	-2.040999999999999759e-02	-1.020400000000000057e-01	0.000000000000000000e+00	-1.836699999999999999e-01	1.428599999999999870e-01	-8.163000000000000811e-02
