Array_1	Array_2	Array_3	Array_4	Array_5	Array_6	Array_7	Array_8	Array_9	Array_10	Array_11
3.399900000000000091e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.403700000000000045e+02	9.870999999999999774e-01	4.714290000000000092e+00	4.714290000000000092e+00	3.142860000000000209e+00	3.714289999999999647e+00	3.857139999999999791e+00	3.714289999999999647e+00	3.571429999999999882e+00	1.000000000000000000e+00	9.290300000000000225e-01
3.407400000000000091e+02	8.137900000000000134e-01	1.195119999999999960e+00	1.243900000000000006e+00	8.536599999999999744e-01	1.146339999999999915e+00	1.292680000000000051e+00	1.317069999999999963e+00	8.536599999999999744e-01	9.310299999999999132e-01	8.413800000000000168e-01
3.411200000000000045e+02	1.085529999999999884e+00	2.272730000000000139e+00	2.318179999999999907e+00	1.863639999999999963e+00	1.681819999999999871e+00	1.818180000000000129e+00	1.954550000000000232e+00	1.545449999999999768e+00	1.059209999999999985e+00	8.815800000000000303e-01
3.415000000000000000e+02	8.947400000000000908e-01	1.263160000000000061e+00	4.210499999999999798e-01	1.789470000000000116e+00	1.315790000000000015e+00	1.631579999999999808e+00	1.368420000000000192e+00	1.842110000000000136e+00	8.750000000000000000e-01	1.000000000000000000e+00
3.418700000000000045e+02	1.123289999999999900e+00	3.589700000000000113e-01	4.102600000000000136e-01	1.025639999999999885e+00	2.051300000000000068e-01	2.820499999999999674e-01	7.692299999999999693e-01	2.564099999999999713e-01	1.123289999999999900e+00	8.493200000000000749e-01
3.422500000000000000e+02	1.030079999999999885e+00	7.666699999999999626e-01	1.033330000000000082e+00	1.699999999999999956e+00	1.266669999999999963e+00	1.633329999999999949e+00	1.466669999999999918e+00	4.333299999999999930e-01	9.172899999999999388e-01	1.037590000000000012e+00
3.426200000000000045e+02	1.040270000000000028e+00	7.142899999999999805e-01	1.333329999999999904e+00	1.285709999999999908e+00	8.095200000000000173e-01	1.642859999999999987e+00	9.761900000000000022e-01	1.380949999999999900e+00	9.932899999999998952e-01	8.590600000000000458e-01
3.430000000000000000e+02	9.562000000000000499e-01	-2.250000000000000000e+00	-7.500000000000000000e-01	-6.000000000000000000e+00	-5.250000000000000000e+00	-2.000000000000000000e+00	-8.250000000000000000e+00	-1.250000000000000000e+00	1.036499999999999977e+00	1.051089999999999858e+00
3.433700000000000045e+02	1.093750000000000000e+00	1.000000000000000000e+00	1.677419999999999911e+00	7.741899999999999338e-01	2.000000000000000000e+00	1.677419999999999911e+00	1.225810000000000066e+00	1.290320000000000134e+00	9.765600000000000946e-01	8.671899999999999054e-01
3.437500000000000000e+02	1.000000000000000000e+00	9.375000000000000000e-01	2.875000000000000000e+00	2.062500000000000000e+00	2.000000000000000000e+00	2.625000000000000000e+00	3.312500000000000000e+00	1.750000000000000000e+00	1.094589999999999952e+00	1.020270000000000010e+00
3.441200000000000045e+02	9.117600000000000149e-01	9.655200000000000449e-01	4.137899999999999912e-01	1.103450000000000042e+00	1.137930000000000108e+00	1.793099999999999916e+00	1.034479999999999844e+00	1.448280000000000012e+00	9.058799999999999075e-01	9.000000000000000222e-01
3.445000000000000000e+02	8.757399999999999629e-01	-1.105259999999999909e+00	-3.157900000000000151e-01	-1.000000000000000000e+00	-5.263200000000000101e-01	-7.894700000000000051e-01	0.000000000000000000e+00	-5.262999999999999623e-02	9.171599999999999753e-01	9.112399999999999389e-01
3.448799999999999955e+02	9.866700000000000470e-01	4.400000000000000355e+00	2.399999999999999911e+00	4.000000000000000000e+00	1.000000000000000000e+00	4.599999999999999645e+00	4.400000000000000355e+00	5.200000000000000178e+00	1.053329999999999878e+00	9.333299999999999930e-01
3.452500000000000000e+02	7.621999999999999886e-01	-0.000000000000000000e+00	4.000000000000000000e+00	6.500000000000000000e+00	1.200000000000000000e+01	1.000000000000000000e+00	4.000000000000000000e+00	9.500000000000000000e+00	7.804900000000000171e-01	8.719499999999998918e-01
3.456299999999999955e+02	9.932400000000000118e-01	5.285709999999999908e+00	4.000000000000000000e+00	8.285709999999999908e+00	6.857140000000000235e+00	5.000000000000000000e+00	6.428569999999999673e+00	8.571429999999999438e+00	9.594599999999999795e-01	8.175700000000000189e-01
3.460000000000000000e+02	9.681499999999999551e-01	1.000000000000000000e+00	6.470600000000000795e-01	2.470590000000000064e+00	1.882350000000000190e+00	2.352940000000000254e+00	2.294119999999999937e+00	2.176470000000000127e+00	9.299399999999999888e-01	9.936300000000000132e-01
3.463799999999999955e+02	8.395099999999999785e-01	2.000000000000000111e-01	2.000000000000000111e-01	1.750000000000000000e+00	1.800000000000000044e+00	1.199999999999999956e+00	9.499999999999999556e-01	2.200000000000000178e+00	8.950599999999999667e-01	8.580200000000001159e-01
3.467500000000000000e+02	1.024689999999999879e+00	-1.100000000000000000e+01	-3.000000000000000000e+00	-1.500000000000000000e+01	-2.100000000000000000e+01	-1.000000000000000000e+01	-1.000000000000000000e+00	-2.500000000000000000e+01	1.037039999999999962e+00	9.444400000000000572e-01
3.471299999999999955e+02	1.239440000000000097e+00	3.000000000000000000e+00	1.111110000000000042e+00	3.444440000000000168e+00	3.333330000000000126e+00	5.111110000000000042e+00	4.111110000000000042e+00	5.666669999999999874e+00	1.154930000000000012e+00	1.077459999999999862e+00
3.475000000000000000e+02	1.107439999999999980e+00	2.777780000000000360e+00	3.333299999999999597e-01	2.666669999999999874e+00	4.000000000000000000e+00	3.666669999999999874e+00	4.777779999999999916e+00	2.333330000000000126e+00	1.239670000000000050e+00	1.107439999999999980e+00
3.478799999999999955e+02	1.125000000000000000e+00	-7.222199999999999731e-01	-1.666700000000000126e-01	1.611109999999999820e+00	1.666700000000000126e-01	2.777799999999999714e-01	-7.222199999999999731e-01	2.777799999999999714e-01	1.131939999999999946e+00	1.062500000000000000e+00
3.482500000000000000e+02	9.933799999999999297e-01	2.500000000000000000e-01	-1.062500000000000000e+00	-1.875000000000000000e-01	-6.875000000000000000e-01	-6.875000000000000000e-01	-1.250000000000000000e+00	-1.187500000000000000e+00	8.344400000000000706e-01	8.476799999999999891e-01
3.486299999999999955e+02	1.152320000000000011e+00	-1.833329999999999904e+00	-3.333299999999999597e-01	0.000000000000000000e+00	0.000000000000000000e+00	-4.833330000000000126e+00	-4.166669999999999874e+00	-9.666669999999999874e+00	1.039740000000000109e+00	9.205299999999999594e-01
3.490000000000000000e+02	9.057999999999999385e-01	-2.000000000000000111e-01	-2.100000000000000089e+00	-4.099999999999999645e+00	-9.000000000000000222e-01	-2.200000000000000178e+00	-1.800000000000000044e+00	-3.000000000000000000e+00	1.079709999999999948e+00	1.036229999999999984e+00
3.493799999999999955e+02	1.056449999999999889e+00	4.264699999999999602e-01	1.617599999999999871e-01	1.323499999999999954e-01	2.058800000000000074e-01	1.323499999999999954e-01	3.529399999999999760e-01	1.617599999999999871e-01	1.024189999999999934e+00	1.008059999999999956e+00
3.497500000000000000e+02	1.728399999999999936e+00	-3.170700000000000185e-01	-4.390200000000000213e-01	-4.146299999999999986e-01	9.756000000000000782e-02	-5.121999999999999886e-01	-7.316999999999999893e-02	-1.707299999999999929e-01	1.802470000000000239e+00	1.592589999999999950e+00
3.501299999999999955e+02	1.638890000000000180e+00	-2.894700000000000051e-01	-4.736800000000000455e-01	-8.684199999999999697e-01	-1.052629999999999955e+00	-1.315800000000000025e-01	-4.210499999999999798e-01	-3.421099999999999697e-01	1.708329999999999904e+00	1.138889999999999958e+00
3.505000000000000000e+02	2.169230000000000214e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.138460000000000250e+00	1.584619999999999918e+00
3.508799999999999955e+02	1.757139999999999924e+00	1.016900000000000026e-01	2.711899999999999866e-01	1.694999999999999979e-02	1.694999999999999979e-02	-1.864399999999999946e-01	1.525400000000000089e-01	-8.474999999999999201e-02	1.800000000000000044e+00	1.885709999999999997e+00
3.512500000000000000e+02	1.363639999999999963e+00	2.205900000000000083e-01	3.529399999999999760e-01	-8.823999999999999899e-02	2.941199999999999926e-01	-8.823999999999999899e-02	3.382399999999999851e-01	5.881999999999999729e-02	1.363639999999999963e+00	1.500000000000000000e+00
3.516299999999999955e+02	1.492059999999999942e+00	1.667000000000000079e-02	4.333299999999999930e-01	1.333300000000000041e-01	-2.000000000000000111e-01	4.000000000000000222e-01	0.000000000000000000e+00	-3.166700000000000070e-01	1.698409999999999975e+00	9.682500000000000551e-01
3.520000000000000000e+02	1.019419999999999993e+00	-2.592599999999999905e-01	-5.555599999999999428e-01	-8.888899999999999579e-01	-2.074070000000000302e+00	-5.185199999999999809e-01	-9.259300000000000308e-01	-1.888890000000000180e+00	1.145629999999999926e+00	1.281549999999999967e+00
3.523799999999999955e+02	1.076089999999999991e+00	-3.922000000000000486e-02	5.686299999999999688e-01	-1.372499999999999831e-01	1.764699999999999880e-01	5.881999999999999729e-02	3.921600000000000086e-01	3.922000000000000486e-02	1.315219999999999834e+00	1.097830000000000084e+00
3.527500000000000000e+02	1.294120000000000159e+00	-4.000000000000000222e-01	-2.999999999999999889e-01	-4.600000000000000200e-01	-2.000000000000000111e-01	-4.400000000000000022e-01	-2.200000000000000011e-01	-3.800000000000000044e-01	1.294120000000000159e+00	1.305879999999999930e+00
3.531200000000000045e+02	1.893939999999999957e+00	-3.827200000000000046e-01	-1.728399999999999936e-01	-1.851899999999999935e-01	-1.358000000000000040e-01	-9.877000000000001056e-02	-3.703699999999999770e-01	-1.234600000000000003e-01	1.606060000000000043e+00	1.893939999999999957e+00
3.535000000000000000e+02	1.221049999999999969e+00	2.222200000000000009e-01	1.604899999999999938e-01	9.877000000000001056e-02	1.604899999999999938e-01	2.098799999999999832e-01	-2.469000000000000014e-02	-1.358000000000000040e-01	1.368420000000000192e+00	1.368420000000000192e+00
3.538700000000000045e+02	1.126440000000000108e+00	-5.660000000000000447e-02	-2.075499999999999845e-01	-2.641499999999999959e-01	-6.037700000000000289e-01	-5.660000000000000447e-02	-2.075499999999999845e-01	-7.358499999999998931e-01	1.517239999999999922e+00	1.379310000000000036e+00
3.542500000000000000e+02	1.409999999999999920e+00	1.586999999999999869e-02	5.396800000000000486e-01	4.127000000000000113e-01	-3.015899999999999692e-01	1.269800000000000095e-01	-7.936999999999999611e-02	-2.380999999999999783e-01	1.219999999999999973e+00	1.219999999999999973e+00
3.546200000000000045e+02	1.714290000000000092e+00	-4.285700000000000065e-01	-5.000000000000000000e-01	3.095200000000000173e-01	-6.428599999999999870e-01	-3.809500000000000108e-01	-5.476199999999999957e-01	-7.142999999999999350e-02	1.402599999999999847e+00	1.519480000000000164e+00
3.550000000000000000e+02	1.578950000000000076e+00	-5.000000000000000000e-01	-5.937500000000000000e-01	-2.187500000000000000e-01	-4.687500000000000000e-01	-8.750000000000000000e-01	-5.937500000000000000e-01	-5.937500000000000000e-01	2.087720000000000020e+00	1.701750000000000096e+00
3.553700000000000045e+02	1.578950000000000076e+00	-7.837800000000000322e-01	5.135100000000000220e-01	1.621599999999999986e-01	-2.702700000000000102e-01	2.162199999999999955e-01	1.891899999999999971e-01	-7.837800000000000322e-01	1.789470000000000116e+00	1.592110000000000136e+00
3.557500000000000000e+02	1.438779999999999948e+00	3.030300000000000216e-01	-6.969699999999999784e-01	-1.181820000000000093e+00	-9.090999999999999082e-02	3.030300000000000216e-01	-6.363600000000000367e-01	3.029999999999999707e-02	1.540819999999999856e+00	1.530610000000000026e+00
