landa_plot	R_mean_plot	R_ste_plot
4.199900000000000091e+02	1.184099999999999875e-01	6.902646426719804586e-03
4.203600000000000136e+02	1.140830000000000038e-01	4.792645174559740685e-03
4.207300000000000182e+02	8.073199999999999821e-02	7.646460599016233206e-03
4.211000000000000227e+02	1.102680000000000327e-01	8.184249206672721683e-03
4.214599999999999795e+02	1.025909999999999878e-01	6.317509788126722536e-03
4.218299999999999841e+02	9.659999999999999143e-02	5.888972745734183736e-03
4.221999999999999886e+02	1.006050000000000139e-01	4.480194406839611322e-03
4.225699999999999932e+02	1.280349999999999822e-01	6.230420932810238309e-03
4.229399999999999977e+02	1.199069999999999858e-01	7.446108849593859567e-03
4.233100000000000023e+02	1.461669999999999914e-01	5.748506702413444698e-03
4.236700000000000159e+02	1.117340000000000000e-01	5.639658091109370566e-03
4.240400000000000205e+02	1.157579999999999859e-01	5.372094534937717387e-03
4.244100000000000250e+02	9.017600000000000615e-02	5.072603670700088531e-03
4.247799999999999727e+02	1.080619999999999914e-01	5.587694969924814764e-03
4.251399999999999864e+02	1.230129999999999973e-01	6.607042635295717545e-03
4.255099999999999909e+02	1.028099999999999986e-01	5.190878093792549580e-03
4.258799999999999955e+02	1.089810000000000223e-01	5.772173627379497546e-03
4.262500000000000000e+02	1.080100000000000088e-01	4.765259376264519529e-03
4.266200000000000045e+02	1.181480000000000030e-01	5.013459699034804491e-03
4.269800000000000182e+02	1.251500000000000112e-01	5.195191415737617120e-03
4.273500000000000227e+02	1.250189999999999912e-01	4.952097372287361451e-03
4.277200000000000273e+02	1.173019999999999896e-01	6.431966657012695016e-03
4.280899999999999750e+02	1.242260000000000170e-01	4.539525424196132197e-03
4.284499999999999886e+02	1.087230000000000141e-01	4.372898361147108809e-03
4.288199999999999932e+02	1.142639999999999906e-01	4.822254691292477899e-03
4.291899999999999977e+02	1.228569999999999940e-01	5.362010680562053280e-03
4.295600000000000023e+02	1.109590000000000021e-01	5.538584997021420327e-03
4.299200000000000159e+02	1.075979999999999992e-01	4.841249965739142028e-03
4.302900000000000205e+02	1.158659999999999968e-01	4.951065184537409812e-03
4.306600000000000250e+02	1.187910000000000077e-01	5.346476546431160048e-03
4.310199999999999818e+02	1.162810000000000094e-01	3.946059075935030858e-03
4.313899999999999864e+02	1.026769999999999905e-01	5.412104673784496126e-03
4.317599999999999909e+02	1.288690000000000113e-01	4.453721080348257456e-03
4.321299999999999955e+02	1.255629999999999802e-01	4.068420984570340730e-03
4.324900000000000091e+02	9.417199999999999183e-02	5.302954154924476374e-03
4.328600000000000136e+02	1.250429999999999875e-01	6.418402754819684322e-03
4.332300000000000182e+02	1.045859999999999984e-01	5.690350563758049193e-03
4.335899999999999750e+02	1.162040000000000017e-01	4.009386525104846090e-03
4.339599999999999795e+02	1.241230000000000111e-01	5.150532317522738338e-03
4.343299999999999841e+02	1.091779999999999973e-01	3.728795185909456692e-03
4.346999999999999886e+02	1.076050000000000201e-01	3.967928203832477713e-03
4.350600000000000023e+02	1.174570000000000058e-01	3.987348656399677602e-03
