landa_plot	R_plot	R_ste_plot
4.199900000000000091e+02	2.871739999999999848e-01	1.731346895082297097e-02
4.203600000000000136e+02	2.846489999999999854e-01	1.577180497315102195e-02
4.207300000000000182e+02	2.621080000000000076e-01	1.900101668624895254e-02
4.211000000000000227e+02	2.891219999999999901e-01	1.775595229149306425e-02
4.214599999999999795e+02	2.825159999999999894e-01	1.799884090095186032e-02
4.218299999999999841e+02	2.787490000000000245e-01	1.911170115400509864e-02
4.221999999999999886e+02	2.772219999999999684e-01	1.964885220283589182e-02
4.225699999999999932e+02	2.978939999999999921e-01	1.667191358742800902e-02
4.229399999999999977e+02	2.874900000000000233e-01	1.767294875728942297e-02
4.233100000000000023e+02	3.038750000000000062e-01	1.478705291425201108e-02
4.236700000000000159e+02	2.926969999999999850e-01	2.025023599588135492e-02
4.240400000000000205e+02	2.876239999999999908e-01	1.870170896528502644e-02
4.244100000000000250e+02	2.743909999999999960e-01	1.910329607685542705e-02
4.247799999999999727e+02	2.821080000000000254e-01	1.710159861273533727e-02
4.251399999999999864e+02	2.951030000000000042e-01	1.754213822327382530e-02
4.255099999999999909e+02	2.963929999999999620e-01	1.831240848592984374e-02
4.258799999999999955e+02	2.941320000000000046e-01	1.828490535933943728e-02
4.262500000000000000e+02	2.818110000000000337e-01	1.965037740378314246e-02
4.266200000000000045e+02	2.908140000000000169e-01	1.917779550533492763e-02
4.269800000000000182e+02	2.992519999999999625e-01	1.695759585947646808e-02
4.273500000000000227e+02	2.974740000000000162e-01	1.785303710234697680e-02
4.277200000000000273e+02	2.866139999999999244e-01	1.587863387630616616e-02
4.280899999999999750e+02	3.029559999999999476e-01	1.436051169004781518e-02
4.284499999999999886e+02	2.979060000000000041e-01	1.678698531601192576e-02
4.288199999999999932e+02	2.909539999999999904e-01	1.859350246128409559e-02
4.291899999999999977e+02	3.037950000000000372e-01	1.733695893171579780e-02
4.295600000000000023e+02	2.938500000000000001e-01	1.885249839028120891e-02
4.299200000000000159e+02	2.879920000000000258e-01	2.019592075422933439e-02
4.302900000000000205e+02	2.959720000000000129e-01	1.667105607532608225e-02
4.306600000000000250e+02	3.038649999999999407e-01	1.691731474949063549e-02
4.310199999999999818e+02	3.058960000000000012e-01	1.686844629610102786e-02
4.313899999999999864e+02	2.935499999999999776e-01	1.843960321337383135e-02
4.317599999999999909e+02	3.048799999999999844e-01	1.814275380298028748e-02
4.321299999999999955e+02	3.019999999999999907e-01	1.792477137619581315e-02
4.324900000000000091e+02	2.892730000000000024e-01	1.938296847177381488e-02
4.328600000000000136e+02	3.007679999999999798e-01	1.697528293333182628e-02
4.332300000000000182e+02	2.890840000000000076e-01	1.914986041144367546e-02
4.335899999999999750e+02	3.015390000000000015e-01	1.671348121527449493e-02
4.339599999999999795e+02	3.051230000000000331e-01	1.638100492440354786e-02
4.343299999999999841e+02	2.951560000000000850e-01	1.831709348607954771e-02
4.346999999999999886e+02	2.940490000000000048e-01	1.877175824654330957e-02
4.350600000000000023e+02	2.982760000000000966e-01	1.638041820114628441e-02
4.354300000000000068e+02	2.977599999999999691e-01	1.775885444253404513e-02
4.358000000000000114e+02	2.930530000000000079e-01	1.882210379373735684e-02
4.361600000000000250e+02	3.026630000000000154e-01	1.581431637262051618e-02
4.365299999999999727e+02	3.055610000000000270e-01	1.714451408533418375e-02
4.368999999999999773e+02	2.980480000000000351e-01	1.662398119184049783e-02
4.372599999999999909e+02	2.966650000000000120e-01	1.793083125358231611e-02
4.376299999999999955e+02	2.967890000000000250e-01	1.750225239155742823e-02
4.380000000000000000e+02	3.007179999999999853e-01	1.731622660974381500e-02
4.383600000000000136e+02	2.977029999999999954e-01	1.703849941553930297e-02
4.387300000000000182e+02	2.997189999999999577e-01	1.688148364003853874e-02
4.391000000000000227e+02	3.000559999999999894e-01	1.861749715843792966e-02
4.394599999999999795e+02	2.967739999999999823e-01	1.831513758858744831e-02
4.398299999999999841e+02	2.992710000000000647e-01	1.697169443842043088e-02
4.401899999999999977e+02	2.994490000000000207e-01	1.739842422302791125e-02
4.405600000000000023e+02	2.969620000000000037e-01	1.775459638766505033e-02
4.409300000000000068e+02	3.009709999999999885e-01	1.764375290451426076e-02
4.412900000000000205e+02	3.008859999999999868e-01	1.767781134014552447e-02
4.416600000000000250e+02	3.101539999999999853e-01	1.757385097871898630e-02
4.420299999999999727e+02	2.955189999999999761e-01	1.857988305488851577e-02
4.423899999999999864e+02	3.036220000000000030e-01	1.751557673741988355e-02
4.427599999999999909e+02	3.007130000000000636e-01	1.735777578237232555e-02
4.431200000000000045e+02	3.052920000000000633e-01	1.713366924443733563e-02
4.434900000000000091e+02	3.079169999999999963e-01	1.682439168786398556e-02
4.438600000000000136e+02	2.964769999999999905e-01	1.915393241028530077e-02
4.442200000000000273e+02	2.985680000000000001e-01	1.713190206732587498e-02
4.445899999999999750e+02	3.032569999999999988e-01	1.803536889620565090e-02
4.449499999999999886e+02	3.016820000000000057e-01	1.706525819708958405e-02
4.453199999999999932e+02	3.064629999999999854e-01	1.771611432503690173e-02
4.456800000000000068e+02	3.019610000000000349e-01	1.844779917316245396e-02
4.460500000000000114e+02	3.020170000000000354e-01	1.662246879979024233e-02
4.464200000000000159e+02	2.978799999999999781e-01	1.752259144964325374e-02
4.467799999999999727e+02	2.970490000000000075e-01	1.751312044344658508e-02
4.471499999999999773e+02	2.920659999999999923e-01	1.844203436596828991e-02
4.475099999999999909e+02	3.005160000000000053e-01	1.755308223646206284e-02
4.478799999999999955e+02	2.954390000000000072e-01	1.840211282857366973e-02
4.482400000000000091e+02	3.052420000000000133e-01	1.653290300515241132e-02
4.486100000000000136e+02	2.987480000000000135e-01	1.755600218981784311e-02
4.489700000000000273e+02	2.957889999999999686e-01	1.781501092711798920e-02
4.493399999999999750e+02	3.011949999999999905e-01	1.773316862392180018e-02
4.497099999999999795e+02	2.987680000000000335e-01	1.765248567954854839e-02
4.500699999999999932e+02	3.000099999999999989e-01	1.743614840241706349e-02
4.504399999999999977e+02	2.968619999999999592e-01	1.886337708659589427e-02
4.508000000000000114e+02	2.992920000000000025e-01	1.854291429809960118e-02
4.511700000000000159e+02	2.976290000000000324e-01	1.773355541527605467e-02
4.515299999999999727e+02	2.998379999999999379e-01	1.761969105543252298e-02
4.518999999999999773e+02	3.032270000000000243e-01	1.756761446209726199e-02
4.522599999999999909e+02	3.007589999999999986e-01	1.792320497443343486e-02
4.526299999999999955e+02	2.988030000000000408e-01	1.848299464973742270e-02
4.529900000000000091e+02	2.985440000000000316e-01	1.787546389141645223e-02
4.533600000000000136e+02	2.996610000000000107e-01	1.735747513961124339e-02
4.537200000000000273e+02	3.015889999999999960e-01	1.711167875717893930e-02
4.540899999999999750e+02	2.984689999999999843e-01	1.812405874644099427e-02
4.544499999999999886e+02	3.003609999999999891e-01	1.704924804141748004e-02
4.548199999999999932e+02	3.026729999999999698e-01	1.635252858802645204e-02
4.551800000000000068e+02	3.029249999999999998e-01	1.711591814332169906e-02
4.555500000000000114e+02	2.949229999999999907e-01	1.740413852762867641e-02
4.559100000000000250e+02	2.979759999999999631e-01	1.701488722005264909e-02
4.562799999999999727e+02	2.979570000000000274e-01	1.751985971848963111e-02
4.566399999999999864e+02	3.012970000000000370e-01	1.715554908930505898e-02
4.570099999999999909e+02	2.991769999999999707e-01	1.675252611465572958e-02
4.573700000000000045e+02	3.012489999999999890e-01	1.710117334830825800e-02
4.577300000000000182e+02	3.007749999999999591e-01	1.765328941648616062e-02
4.581000000000000227e+02	2.974519999999999942e-01	1.729633164704135959e-02
4.584599999999999795e+02	2.982460000000000111e-01	1.688721147956510557e-02
4.588299999999999841e+02	2.976349999999999829e-01	1.677386116352860834e-02
4.591899999999999977e+02	2.948979999999999935e-01	1.754168804749290517e-02
4.595600000000000023e+02	2.974009999999999709e-01	1.770360807230485917e-02
4.599200000000000159e+02	2.984080000000000621e-01	1.727009630031698176e-02
4.602900000000000205e+02	2.995269999999999877e-01	1.676253514703416117e-02
4.606499999999999773e+02	2.959990000000000121e-01	1.764931666602924734e-02
4.610099999999999909e+02	2.989919999999999800e-01	1.700982094098713385e-02
4.613799999999999955e+02	2.941520000000000246e-01	1.806504585595558252e-02
4.617400000000000091e+02	2.968880000000000408e-01	1.757858790941095248e-02
4.621100000000000136e+02	2.981139999999999901e-01	1.746069320247942147e-02
4.624700000000000273e+02	2.991499999999999715e-01	1.735369060971693814e-02
4.628299999999999841e+02	2.989559999999999995e-01	1.679993096546663137e-02
4.631999999999999886e+02	2.969590000000000285e-01	1.723889571418206132e-02
4.635600000000000023e+02	2.963830000000000076e-01	1.698189539545636589e-02
4.639300000000000068e+02	2.983290000000000108e-01	1.725057560714359298e-02
4.642900000000000205e+02	2.981659999999999866e-01	1.694713192385202336e-02
4.646499999999999773e+02	2.986790000000000278e-01	1.652311595916460679e-02
4.650199999999999818e+02	2.947950000000000292e-01	1.726249365596472032e-02
4.653799999999999955e+02	2.970590000000000175e-01	1.777781866696686794e-02
4.657500000000000000e+02	2.948990000000000222e-01	1.815522559913689341e-02
4.661100000000000136e+02	2.994990000000000707e-01	1.669554288159301111e-02
4.664700000000000273e+02	2.988769999999999483e-01	1.699241537013237643e-02
4.668399999999999750e+02	2.976810000000000289e-01	1.767951215076052351e-02
4.671999999999999886e+02	3.004290000000000016e-01	1.698934525257260464e-02
4.675600000000000023e+02	3.001550000000000606e-01	1.725506342755334446e-02
4.679300000000000068e+02	2.957480000000000109e-01	1.748563034163894483e-02
4.682900000000000205e+02	2.950549999999999562e-01	1.708988077781703127e-02
4.686499999999999773e+02	2.981509999999999994e-01	1.713987387805276583e-02
4.690199999999999818e+02	2.957329999999999681e-01	1.675980091700906421e-02
4.693799999999999955e+02	2.954620000000000024e-01	1.641297750765128086e-02
4.697400000000000091e+02	2.970520000000000382e-01	1.692588811390541639e-02
4.701100000000000136e+02	2.980129999999999724e-01	1.693923348980768198e-02
4.704700000000000273e+02	2.963350000000000151e-01	1.703254076760129035e-02
4.708299999999999841e+02	2.971759999999999957e-01	1.708169710538154015e-02
4.711999999999999886e+02	2.983439999999999981e-01	1.721806184730957992e-02
4.715600000000000023e+02	2.981870000000000354e-01	1.633953148043113326e-02
4.719200000000000159e+02	2.976970000000000449e-01	1.634161593056886880e-02
4.722900000000000205e+02	2.949460000000000415e-01	1.650825787968622158e-02
4.726499999999999773e+02	2.948350000000000692e-01	1.636598948021984398e-02
4.730099999999999909e+02	2.958109999999999906e-01	1.685601820979346424e-02
4.733700000000000045e+02	2.960919999999999663e-01	1.680873541412982938e-02
4.737400000000000091e+02	2.955650000000000222e-01	1.656835600038686698e-02
4.741000000000000227e+02	2.973270000000000080e-01	1.644990017193619786e-02
4.744599999999999795e+02	2.963569999999999816e-01	1.697929399461460889e-02
4.748299999999999841e+02	2.966400000000000148e-01	1.722448405935896043e-02
4.751899999999999977e+02	2.966870000000000340e-01	1.660855007719417784e-02
4.755500000000000114e+02	2.965309999999999890e-01	1.616135111582224504e-02
4.759100000000000250e+02	2.940129999999999688e-01	1.612372655092144183e-02
4.762799999999999727e+02	2.953089999999999882e-01	1.624679198761678350e-02
4.766399999999999864e+02	2.974269999999999969e-01	1.615457947112486359e-02
4.770000000000000000e+02	2.958039999999999559e-01	1.626885840425743371e-02
4.773600000000000136e+02	2.982150000000000079e-01	1.653212759380285474e-02
4.777300000000000182e+02	2.955519999999999814e-01	1.615800598258749707e-02
4.780899999999999750e+02	2.958720000000000239e-01	1.661436826631963390e-02
4.784499999999999886e+02	2.963300000000000378e-01	1.603400726234364970e-02
4.788100000000000023e+02	2.956650000000000111e-01	1.632147727859079370e-02
4.791800000000000068e+02	2.941330000000000333e-01	1.646698717974170653e-02
4.795400000000000205e+02	2.952930000000000277e-01	1.695656058219878817e-02
4.798999999999999773e+02	2.933949999999999614e-01	1.647998639764810744e-02
4.802599999999999909e+02	2.951480000000000214e-01	1.616736471345215156e-02
4.806299999999999955e+02	2.964930000000000065e-01	1.644304378757169630e-02
4.809900000000000091e+02	2.927469999999999795e-01	1.633901010533447481e-02
4.813500000000000227e+02	2.954459999999999864e-01	1.597634579273022812e-02
4.817099999999999795e+02	2.949300000000000255e-01	1.624066822653687583e-02
4.820699999999999932e+02	2.938469999999999693e-01	1.608946266971026176e-02
4.824399999999999977e+02	2.953529999999999767e-01	1.575694535047253084e-02
4.828000000000000114e+02	2.927570000000000450e-01	1.599896469219875064e-02
4.831600000000000250e+02	2.930359999999999632e-01	1.583855830981258442e-02
4.835199999999999818e+02	2.934839999999999671e-01	1.615669164429676605e-02
